REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY
01 - Ilocos Region,NICOSAT Colleges,Private HEI,Ilocos Sur,Candon City
01 - Ilocos Region,North Luzon Philippines State College,SUC Main,Ilocos Sur,Candon City 
01 - Ilocos Region,Ilocos Sur Polytechnic State College-Cervantes,SUC Satellite,Ilocos Sur,Cervantes
01 - Ilocos Region,STI San Jose Del Monte,Private HEI,La Union,San Fernando City
01 - Ilocos Region,Mariano Marcos State University-College of Aquatic Sciences and Applied Technology,SUC Satellite,Ilocos Norte,Currimao
01 - Ilocos Region,Asiacareer College Foundation,Private HEI,Pangasinan,Dagupan City
01 - Ilocos Region,Colegio de Dagupan,Private HEI,Pangasinan,Dagupan City
01 - Ilocos Region,Dagupan Colleges Foundation,Private HEI,Pangasinan,Dagupan City
01 - Ilocos Region,University of Luzon,Private HEI,Pangasinan,Dagupan City
01 - Ilocos Region,Mary Help of Christians College Seminary,Private HEI,Pangasinan,Dagupan City
01 - Ilocos Region,Pangasinan Merchant Marine Academy,Private HEI,Pangasinan,Dagupan City
01 - Ilocos Region,PIMSAT Colleges-Dagupan,Private HEI,Pangasinan,Dagupan City
01 - Ilocos Region,University of Pangasinan,Private HEI,Pangasinan,Dagupan City
01 - Ilocos Region,Lyceum Northwestern University,Private HEI,Pangasinan,Dagupan City
01 - Ilocos Region,STI College-Dagupan,Private HEI,Pangasinan,Dagupan City
01 - Ilocos Region,Kingfisher School of Business & Finance,Private HEI,Pangasinan,Dagupan City
01 - Ilocos Region,Mariano Marcos State University-College of Agriculture and Forestry-Dingras,SUC Satellite,Ilocos Norte,Dingras
01 - Ilocos Region,Pangasinan State University-Infanta,SUC Satellite,Pangasinan,Infanta
01 - Ilocos Region,Data Center College of the Philippines of Laoag City,Private HEI,Ilocos Norte,Laoag City
01 - Ilocos Region,Divine Word College of Laoag,Private HEI,Ilocos Norte,Laoag City
01 - Ilocos Region,Mariano Marcos State University-College of Teacher Education-Laoag City,SUC Satellite,Ilocos Norte,Laoag City
01 - Ilocos Region,Mariano Marcos State University-College of Industrial Technology-Laoag City,SUC Satellite,Ilocos Norte,Laoag City
01 - Ilocos Region,Northern Christian College,Private HEI,Ilocos Norte,Laoag City
01 - Ilocos Region,Northwestern University,Private HEI,Ilocos Norte,Laoag City
01 - Ilocos Region,AMA Computer College-Laoag City,Private HEI,Ilocos Norte,Laoag City
01 - Ilocos Region,STI College-Laoag,Private HEI,Ilocos Norte,Laoag City
01 - Ilocos Region,The Adelphi College,Private HEI,Pangasinan,Lingayen
01 - Ilocos Region,Pangasinan State University,SUC Main,Pangasinan,Lingayen
01 - Ilocos Region,Pangasinan State University-Open University,SUC Satellite,Pangasinan,Lingayen
01 - Ilocos Region,Saint Columban's College,Private HEI,Pangasinan,Lingayen
01 - Ilocos Region,Malasiqui Agno Valley College,Private HEI,Pangasinan,Malasiqui
01 - Ilocos Region,Perpetual Help College of Pangasinan,Private HEI,Pangasinan,Malasiqui
01 - Ilocos Region,Colegio De San Juan De Letran-Manaoag,Private HEI,Pangasinan,Manaoag
01 - Ilocos Region,St. Camillus College of Manaoag Foundation,Private HEI,Pangasinan,Manaoag
01 - Ilocos Region,Metro-Dagupan Colleges,Private HEI,Pangasinan,Mangaldan
01 - Ilocos Region,Mystical Rose College of Science and Technology,Private HEI,Pangasinan,Mangatarem
01 - Ilocos Region,Ilocos Sur Polytechnic State College-College of Fisheries and Marine Sciences-Narvacan,SUC Satellite,Ilocos Sur,Narvacan
01 - Ilocos Region,Rosales-Wesleyan Bible College,Private HEI,Pangasinan,Rosales
01 - Ilocos Region,La Union Christian Comprehensive College,Private HEI,La Union,Rosario
01 - Ilocos Region,Palaris College,Private HEI,Pangasinan,San Carlos City
01 - Ilocos Region,Pangasinan State University-San Carlos City,SUC Satellite,Pangasinan,San Carlos City
01 - Ilocos Region,San Carlos College,Private HEI,Pangasinan,San Carlos City
01 - Ilocos Region,Virgen Milagrosa University Foundation,Private HEI,Pangasinan,San Carlos City
01 - Ilocos Region,St. Therese College Foundation,Private HEI,Pangasinan,San Carlos City
01 - Ilocos Region,PIMSAT Colleges-San Carlos City,Private HEI,Pangasinan,San Carlos City
01 - Ilocos Region,Binalatongan Community College,LUC,Pangasinan,San Carlos City
01 - Ilocos Region,Mary Help of Christians Theology Seminary,Private HEI,Pangasinan,San Fabian
01 - Ilocos Region,CICOSAT Colleges,Private HEI,La Union,San Fernando City
01 - Ilocos Region,Don Mariano Marcos Memorial State University-Mid La Union,SUC Satellite,La Union,San Fernando City
01 - Ilocos Region,Don Mariano Marcos Memorial State University-Open University,SUC Satellite,La Union,San Fernando City
01 - Ilocos Region,Northern Philippines College for Maritime Science and Technology,Private HEI,La Union,San Fernando City
01 - Ilocos Region,Saint Louis College-City of San Fernando,Private HEI,La Union,San Fernando City
01 - Ilocos Region,Sea and Sky College,Private HEI,La Union,San Fernando City
01 - Ilocos Region,Union Christian College,Private HEI,La Union,San Fernando City
01 - Ilocos Region,AMA Computer College-La Union,Private HEI,La Union,San Fernando City
01 - Ilocos Region,Saint John Bosco College of Northern Luzon,Private HEI,La Union,San Fernando City
01 - Ilocos Region,Lorma Colleges,Private HEI,La Union,San Fernando City 
01 - Ilocos Region,Ilocos Sur Polytechnic State College-College of Engineering and Technology-Santiago,SUC Satellite,Ilocos Sur,Santiago
01 - Ilocos Region,Northern Luzon Adventist College,Private HEI,Pangasinan,Sison
01 - Ilocos Region,Ilocos Sur Polytechnic State College,SUC Main,Ilocos Sur,Sta. Maria
01 - Ilocos Region,Saint Mary's College Sta. Maria Ilocos Sur,Private HEI,Ilocos Sur,Sta. Maria
01 - Ilocos Region,Pangasinan State University-Sta. Maria,SUC Satellite,Pangasinan,Sta. Maria
01 - Ilocos Region,Ilocos Sur Polytechnic State College-College of Arts and Sciences-Tagudin,SUC Satellite,Ilocos Sur,Tagudin
01 - Ilocos Region,Luna Colleges,Private HEI,Pangasinan,Tayug
01 - Ilocos Region,Panpacific University North Philippines-Tayug,Private HEI,Pangasinan,Tayug
01 - Ilocos Region,Divine Word College of Urdaneta,Private HEI,Pangasinan,Urdaneta City
01 - Ilocos Region,Lyceum Northern Luzon,Private HEI,Pangasinan,Urdaneta City
01 - Ilocos Region,Panpacific University,Private HEI,Pangasinan,Urdaneta City
01 - Ilocos Region,Pangasinan State University-Urdaneta City,SUC Satellite,Pangasinan,Urdaneta City
01 - Ilocos Region,Urdaneta City University,LUC,Pangasinan,Urdaneta City
01 - Ilocos Region,Lyceum Northwestern University-Urdaneta Campus,Private HEI,Pangasinan,Urdaneta City
01 - Ilocos Region,ABE International College of Business and Accountancy-Urdaneta City,Private HEI,Pangasinan,Urdaneta City
01 - Ilocos Region,International College for Excellence,Private HEI,Pangasinan,Urdaneta City
01 - Ilocos Region,PHINMA-Upang College Urdaneta,Private HEI,Pangasinan,Urdaneta City
01 - Ilocos Region,Divine Word College of Vigan,Private HEI,Ilocos Sur,Vigan City
01 - Ilocos Region,University of Northern Philippines,SUC Main,Ilocos Sur,Vigan City
01 - Ilocos Region,Macro Colleges,Private HEI,Ilocos Sur,Vigan City
01 - Ilocos Region,Data Center College of the Philippines-Vigan City,Private HEI,Ilocos Sur,Vigan City
01 - Ilocos Region,Immaculate Conception School of Theology,Private HEI,Ilocos Sur,Vigan City
01 - Ilocos Region,STI College-Vigan,Private HEI,Ilocos Sur,Vigan City
01 - Ilocos Region,St. Benedict College of Northern Luzon,Private HEI,Ilocos Sur,Vigan City
01 - Ilocos Region,NJ Valdez Colleges Foundation,Private HEI,Pangasinan,Villasis
02 - Cagayan Valley,F.L. Vargas College-Abulug Campus,Private HEI,Cagayan,Abulug
02 - Cagayan Valley,Philippine Normal University-North Luzon Campus,SUC Satellite,Isabela,Alicia
02 - Cagayan Valley,Northeast Luzon Adventist College,Private HEI,Isabela,Alicia
02 - Cagayan Valley,Isabela State University-Angadanan Campus,SUC Satellite,Isabela,Angadanan
02 - Cagayan Valley,Cagayan State University-Aparri,SUC Satellite,Cagayan,Aparri
02 - Cagayan Valley,Lyceum of Aparri,Private HEI,Cagayan,Aparri
02 - Cagayan Valley,Saint Joseph's College of Baggao,Private HEI,Cagayan,Baggao
02 - Cagayan Valley,Northern Cagayan Colleges Foundation,Private HEI,Cagayan,Ballesteros
02 - Cagayan Valley,Quezon Colleges of the North,Private HEI,Cagayan,Ballesteros
02 - Cagayan Valley,Nueva Vizcaya State University-Bambang,SUC Satellite,Nueva Vizcaya,Bambang
02 - Cagayan Valley,King's College of the Philippines-Bambang,Private HEI,Nueva Vizcaya,Bambang
02 - Cagayan Valley,Batanes State College,SUC Main,Batanes,Basco
02 - Cagayan Valley,Saint Dominic College of Batanes,Private HEI,Batanes,Basco
02 - Cagayan Valley,Nueva Vizcaya State University - Main Bayombong,SUC Main,Nueva Vizcaya,Bayombong
02 - Cagayan Valley,PLT College,Private HEI,Nueva Vizcaya,Bayombong
02 - Cagayan Valley,Saint Mary's University of Bayombong,Private HEI,Nueva Vizcaya,Bayombong
02 - Cagayan Valley,Isabela State University-Cabagan,SUC Satellite,Isabela,Cabagan
02 - Cagayan Valley,Saint Ferdinand College-Cabagan Campus,Private HEI,Isabela,Cabagan
02 - Cagayan Valley,Quirino State University - Cabarroguis,SUC Satellite,Quirino,Cabarroguis
02 - Cagayan Valley,Isabela State University-Cauayan Campus,SUC Satellite,Isabela,Cauayan City
02 - Cagayan Valley,Isabela Colleges,Private HEI,Isabela,Cauayan City
02 - Cagayan Valley,Our Lady of the Pillar College-Cauayan,Private HEI,Isabela,Cauayan City
02 - Cagayan Valley,Isabela College of Arts and Technology,Private HEI,Isabela,Cauayan City
02 - Cagayan Valley,University of Perpetual Help System,Private HEI,Isabela,Cauayan City
02 - Cagayan Valley,STI College-Cauayan,Private HEI,Isabela,Cauayan City
02 - Cagayan Valley,Quirino State University,SUC Main,Quirino,Diffun
02 - Cagayan Valley,Isabela State University-Main (Echague),SUC Main,Isabela,Echague
02 - Cagayan Valley,Cagayan State University-Gonzaga,SUC Satellite,Cagayan,Gonzaga
02 - Cagayan Valley,Isabela State University-Ilagan Campus,SUC Satellite,Isabela,Ilagan City
02 - Cagayan Valley,St. Ferdinand College-Ilagan,Private HEI,Isabela,Ilagan City
02 - Cagayan Valley,Isabela State University-Jones Campus,SUC Satellite,Isabela,Jones
02 - Cagayan Valley,Cagayan State University-Lallo,SUC Satellite,Cagayan,Lal-Lo
02 - Cagayan Valley,Cagayan State University-Lasam,SUC Satellite,Cagayan,Lasam
02 - Cagayan Valley,Quirino State University - Maddela,SUC Satellite,Quirino,Maddela
02 - Cagayan Valley,Mallig Plains Colleges,Private HEI,Isabela,Mallig
02 - Cagayan Valley,Isabela State University-Palanan Campus,SUC Satellite,Isabela,Palanan
02 - Cagayan Valley,Medical Colleges of Northern Philippines,Private HEI,Cagayan,Penablanca
02 - Cagayan Valley,International School of Asia and the Pacific,Private HEI,Cagayan,Penablanca
02 - Cagayan Valley,Cagayan State University-Piat,SUC Satellite,Cagayan,Piat
02 - Cagayan Valley,Isabela State University-Roxas Campus,SUC Satellite,Isabela,Roxas
02 - Cagayan Valley,La Salette of Roxas College,Private HEI,Isabela,Roxas
02 - Cagayan Valley,Our Lady of the Pillar College-Cauayan San Manuel Branch,Private HEI,Isabela,San Manuel
02 - Cagayan Valley,Isabela State University-San Mariano Campus,SUC Satellite,Isabela,San Mariano
02 - Cagayan Valley,Eveland Christian College,Private HEI,Isabela,San Mateo
02 - Cagayan Valley,Isabela State University-San Mateo Campus,SUC Satellite,Isabela,San Mateo
02 - Cagayan Valley,Cagayan State University-Sanchez Mira,SUC Satellite,Cagayan,Sanchez Mira
02 - Cagayan Valley,University of La Salette,Private HEI,Isabela,Santiago City
02 - Cagayan Valley,Northeastern College,Private HEI,Isabela,Santiago City
02 - Cagayan Valley,Patria Sable Corpus College,Private HEI,Isabela,Santiago City
02 - Cagayan Valley,AMA Computer College-Santiago City,Private HEI,Isabela,Santiago City
02 - Cagayan Valley,Cagayan Valley Computer and Information Technology College,Private HEI,Isabela,Santiago City
02 - Cagayan Valley,SISTECH College of Santiago City,Private HEI,Isabela,Santiago City
02 - Cagayan Valley,Santiago City Colleges,Private HEI,Isabela,Santiago City
02 - Cagayan Valley,Metropolitan School of Science and Technology,Private HEI,Isabela,Santiago City
02 - Cagayan Valley,Global Academy of Technology and Entrepreneurship,Private HEI,Isabela,Santiago City
02 - Cagayan Valley,Infant Jesus Montessori School (College Department),Private HEI,Isabela,Santiago City
02 - Cagayan Valley,Aldersgate College,Private HEI,Nueva Vizcaya,Solano
02 - Cagayan Valley,Saint Anthony's College,Private HEI,Cagayan,Sta. Ana
02 - Cagayan Valley,Lyceum of Tuao,Private HEI,Cagayan,Tuao
02 - Cagayan Valley,University of Cagayan Valley,Private HEI,Cagayan,Tuguegarao City
02 - Cagayan Valley,Cagayan State University-Tuguegarao (Carig),SUC Satellite,Cagayan,Tuguegarao City
02 - Cagayan Valley,University of Saint Louis-Tuguegarao,Private HEI,Cagayan,Tuguegarao City
02 - Cagayan Valley,FL Vargas College-Tuguegarao,Private HEI,Cagayan,Tuguegarao City
02 - Cagayan Valley,Philippine Law Enforcement College,Private HEI,Cagayan,Tuguegarao City
02 - Cagayan Valley,John Wesley College,Private HEI,Cagayan,Tuguegarao City
02 - Cagayan Valley,AMA Computer College-Tuguegarao City,Private HEI,Cagayan,Tuguegarao City
02 - Cagayan Valley,Maila Rosario Colleges,Private HEI,Cagayan,Tuguegarao City
02 - Cagayan Valley,Cagayan State University-Andrews,SUC Main,Cagayan,Tuguegarao City
02 - Cagayan Valley,Saint Paul University Philippines,Private HEI,Cagayan,Tuguegarao City
02 - Cagayan Valley,HGBaquiran College,Private HEI,Isabela,Tumauini
03 - Central Luzon,Bataan Peninsula State University-Abucay,SUC Satellite,Bataan,Abucay
03 - Central Luzon,Colegio de San Juan de Letran-Abucay,Private HEI,Bataan,Abucay
03 - Central Luzon,Lourdes College of Bulacan,Private HEI,Bulacan,Angat
03 - Central Luzon,Angeles University Foundation,Private HEI,Pampanga,Angeles City
03 - Central Luzon,Holy Angel University,Private HEI,Pampanga,Angeles City
03 - Central Luzon,Republic Central Colleges,Private HEI,Pampanga,Angeles City
03 - Central Luzon,Systems Plus College Foundation,Private HEI,Pampanga,Angeles City
03 - Central Luzon,STI College-Angeles City,Private HEI,Pampanga,Angeles City
03 - Central Luzon,AMA Computer College-Angeles City,Private HEI,Pampanga,Angeles City
03 - Central Luzon,City College of Angeles,LUC,Pampanga,Angeles City
03 - Central Luzon,Jocson College,Private HEI,Pampanga,Angeles City
03 - Central Luzon,St. Thomas More College-Clark,Private HEI,Pampanga,Angeles City
03 - Central Luzon,La Verdad Christian College,Private HEI,Pampanga,Apalit
03 - Central Luzon,ACLC College of Apalit,Private HEI,Pampanga,Apalit
03 - Central Luzon,Don Honorio Ventura Technological State University-Apalit,SUC Satellite,Pampanga,Apalit
03 - Central Luzon,Exact Colleges of Asia,Private HEI,Pampanga,Arayat
03 - Central Luzon,Don Honorio Ventura Technological State University-Main,SUC Main,Pampanga,Bacolor
03 - Central Luzon,Bataan Peninsula State University-Bagac,SUC Satellite,Bataan,Bagac
03 - Central Luzon,College of Saint Lawrence,Private HEI,Bulacan,Balagtas
03 - Central Luzon,STI College-Balagtas,Private HEI,Bulacan,Balagtas
03 - Central Luzon,Our Lady of Manaoag Montessori College,Private HEI,Bulacan,Balagtas
03 - Central Luzon,Bataan Heroes Memorial College,Private HEI,Bataan,Balanga City
03 - Central Luzon,Microcity College of Business and Technology,Private HEI,Bataan,Balanga City
03 - Central Luzon,Tomas Del Rosario College,Private HEI,Bataan,Balanga City
03 - Central Luzon,Bataan Peninsula State University,SUC Main,Bataan,Balanga City
03 - Central Luzon,Eastwoods Professional College of Science and Technology,Private HEI,Bataan,Balanga City
03 - Central Luzon,Asia Pacific College of Advanced Studies,Private HEI,Bataan,Balanga City
03 - Central Luzon,St. Joseph's College of Balanga City,Private HEI,Bataan,Balanga City
03 - Central Luzon,Bataan Peninsula State University-Balanga,SUC Satellite,Bataan,Balanga City
03 - Central Luzon,Philippine Women`s University Career Development and Continuing Education Center-Bataan,Private HEI,Bataan,Balanga city
03 - Central Luzon,ACLC College of Balanga,Private HEI,Bataan,Balanga City
03 - Central Luzon,Virgen Milagrosa Del Rosario College Seminary,Private HEI,Bataan,Balanga City
03 - Central Luzon,Aurora Polytechnic College,Private HEI,Aurora,Baler
03 - Central Luzon,Aurora State College of Technology,SUC Main,Aurora,Baler
03 - Central Luzon,Mount Carmel College-Baler,Private HEI,Aurora,Baler
03 - Central Luzon,University of the Philippines- Manila School of Health Sciences Extension Campus-Baler,SUC Satellite,Aurora,Baler
03 - Central Luzon,Baliuag University,Private HEI,Bulacan,Baliuag
03 - Central Luzon,Fernandez College of Arts and Technology,Private HEI,Bulacan,Baliuag
03 - Central Luzon,Saint Mary's College of Baliuag,Private HEI,Bulacan,Baliuag
03 - Central Luzon,STI College-Baliuag,Private HEI,Bulacan,Baliuag
03 - Central Luzon,Marian College of Baliuag,Private HEI,Bulacan,Baliuag
03 - Central Luzon,ACLC College-Baliuag,Private HEI,Bulacan,Baliuag
03 - Central Luzon,Baliwag Polytechnic College,LUC,Bulacan,Baliuag
03 - Central Luzon,NU Bulacan,Private HEI,Bulacan,Baliuag
03 - Central Luzon,Centro Colegio De Tarlac,Private HEI,Tarlac,Bamban
03 - Central Luzon,Dr. Yanga's Colleges,Private HEI,Bulacan,Bocaue
03 - Central Luzon,Jesus Is Lord Colleges Foundation,Private HEI,Bulacan,Bocaue
03 - Central Luzon,Mt.Carmel College of Bocaue Bulacan,Private HEI,Bulacan,Bocaue
03 - Central Luzon,Javier E. Garde Essential Colleges,Private HEI,Nueva Ecija,Bongabon
03 - Central Luzon,President Ramon Magsaysay State University-Botolan,SUC Satellite,Zambales,Botolan
03 - Central Luzon,Polytechnic College of Botolan,LUC,Zambales,Botolan
03 - Central Luzon,Lyceum of Western Luzon - Zambales,Private HEI,Zambales,Botolan
03 - Central Luzon,Bulacan State University-Meneses,SUC Satellite,Bulacan,Bulacan
03 - Central Luzon,Bulacan State University-Bustos,SUC Satellite,Bulacan,Bustos
03 - Central Luzon,Nueva Ecija University of Science and Technology-Main,SUC Main,Nueva Ecija,Cabanatuan City
03 - Central Luzon,College of the Immaculate Conception,Private HEI,Nueva Ecija,Cabanatuan City
03 - Central Luzon,College for Research and Technology-Cabanatuan City,Private HEI,Nueva Ecija,Cabanatuan City
03 - Central Luzon,The Good Samaritan Colleges,Private HEI,Nueva Ecija,Cabanatuan City
03 - Central Luzon,Manuel V. Gallego Foundation Colleges,Private HEI,Nueva Ecija,Cabanatuan City
03 - Central Luzon,Maria Assumpta Seminary,Private HEI,Nueva Ecija,Cabanatuan City
03 - Central Luzon,MIDWAY COLLEGES Inc.,Private HEI,Nueva Ecija,Cabanatuan City
03 - Central Luzon,Nueva Ecija Doctors' Colleges,Private HEI,Nueva Ecija,Cabanatuan City
03 - Central Luzon,Araullo University,Private HEI,Nueva Ecija,Cabanatuan City
03 - Central Luzon,Nueva Ecija University of Science and Technology-Sumacab Campus,SUC Satellite,Nueva Ecija,Cabanatuan City
03 - Central Luzon,Nueva Ecija University of Science and Technology-Peñaranda,SUC Satellite,Nueva Ecija,Cabanatuan City
03 - Central Luzon,Wesleyan University-Philippines (Cabanatuan),Private HEI,Nueva Ecija,Cabanatuan City
03 - Central Luzon,La Fortuna College,Private HEI,Nueva Ecija,Cabanatuan City
03 - Central Luzon,AMA Computer College-Cabanatuan City,Private HEI,Nueva Ecija,Cabanatuan City
03 - Central Luzon,ABE International College of Business and Economics-Cabanatuan,Private HEI,Nueva Ecija,Cabanatuan City
03 - Central Luzon,Dr. Gloria D. Lacson Foundation Colleges-Cabanatuan City,Private HEI,Nueva Ecija,Cabanatuan City
03 - Central Luzon,Polytechnic University of the Philippines-Cabiao,SUC Satellite,Nueva Ecija,Cabiao
03 - Central Luzon,Colegio De Calumpit,Private HEI,Bulacan,Calumpit
03 - Central Luzon,Camiling Colleges,Private HEI,Tarlac,Camiling
03 - Central Luzon,Tarlac Agricultural University,SUC Main,Tarlac,Camiling
03 - Central Luzon,BESTCAP Career College,Private HEI,Tarlac,Camiling
03 - Central Luzon,Don Honorio Ventura Technological State University-Candaba,SUC Satellite,Pampanga,Candaba
03 - Central Luzon,President Ramon Magsaysay State University-Candelaria,SUC Satellite,Zambales,Candelaria
03 - Central Luzon,Dominican College of Tarlac,Private HEI,Tarlac,Capas
03 - Central Luzon,Nueva Ecija University of Science and Technology-Carranglan,SUC Satellite,Nueva Ecija,Carranglan
03 - Central Luzon,Mount Carmel College of Casiguran,Private HEI,Aurora,Casiguran
03 - Central Luzon,Aurora State College of Techonolgy-Casiguran,SUC Satellite,Aurora,Casiguran
03 - Central Luzon,President Ramon Magsaysay State University-Castillejos,SUC Satellite,Zambales,Castillejos
03 - Central Luzon,College of Saint Anthony-SJDM Bulacan,Private HEI,Bulacan,San Jose Del Monte City
03 - Central Luzon,City College of San Jose del Monte,LUC,Bulacan,San Jose Del Monte City
03 - Central Luzon,Concepcion Holy Cross College,Private HEI,Tarlac,Concepcion
03 - Central Luzon,Bataan Peninsula State University-Dinalupihan,SUC Satellite,Bataan,Dinalupihan
03 - Central Luzon,College of Subic Montesorri-Dinalupihan,Private HEI,Bataan,Dinalupihan
03 - Central Luzon,University of Nueva Caceres-Bataan,Private HEI,Bataan,Dinalupihan
03 - Central Luzon,Bulacan Agricultural State College-Doña Remedios Trinidad,SUC Satellite,Bulacan,Dona Remedios Trinidad
03 - Central Luzon,Philippine State College of Aeronautics-Pampanga Extension,SUC Satellite,Pampanga,Floridablanca
03 - Central Luzon,Megabyte College of Science and Technology-Florida,Private HEI,Pampanga,Floridablanca
03 - Central Luzon,Nueva Ecija University of Science and Technology-Sebani Estate Agricultural College,SUC Satellite,Nueva Ecija,Gabaldon
03 - Central Luzon,Gapan City College,LUC,Nueva Ecija,Gapan
03 - Central Luzon,Divina Pastora College,Private HEI,Nueva Ecija,Gapan City
03 - Central Luzon,Nueva Ecija University of Science and Technology-Gapan City Campus,SUC Satellite,Nueva Ecija,Gapan City
03 - Central Luzon,Kinect Academy,Private HEI,Nueva Ecija,Gapan City
03 - Central Luzon,Nueva Ecija University of Science and Technology-Papaya,SUC Satellite,Nueva Ecija,General Tinio
03 - Central Luzon,Gerona Junior College,Private HEI,Tarlac,Gerona
03 - Central Luzon,Guagua National Colleges,Private HEI,Pampanga,Guagua
03 - Central Luzon,Mary the Queen College-Pampanga,Private HEI,Pampanga,Guagua
03 - Central Luzon,Philippine Rehabilitation Institute Foundation-Guagua,Private HEI,Pampanga,Guagua
03 - Central Luzon,Guagua Community College,LUC,Pampanga,Guagua
03 - Central Luzon,Immaculate Conception Major Seminary,Private HEI,Bulacan,Guiguinto
03 - Central Luzon,World Citi Colleges Guimba Campus,Private HEI,Nueva Ecija,Guimba
03 - Central Luzon,Our Lady of Sacred Heart College of Guimba,Private HEI,Nueva Ecija,Guimba
03 - Central Luzon,Colleges of Advance Technology and Management of the Philippines,Private HEI,Nueva Ecija,Guimba
03 - Central Luzon,Bulacan State University-Hagonoy,SUC Satellite,Bulacan,Hagonoy
03 - Central Luzon,College of the Most Holy Trinity,Private HEI,Bataan,Hermosa
03 - Central Luzon,President Ramon Magsaysay State University,SUC Main,Zambales,Iba
03 - Central Luzon,Micro Asia College of Science and Technology,Private HEI,Zambales,Iba
03 - Central Luzon,Limay Polytechnic College,LUC,Bataan,Limay
03 - Central Luzon,Don Honorio Ventura State University-Lubao,SUC Satellite,Pampanga,Lubao
03 - Central Luzon,Jose C. Feliciano College Foundation,Private HEI,Pampanga,Mabalacat City
03 - Central Luzon,Saint Anthony College of Technology,Private HEI,Pampanga,Mabalacat City
03 - Central Luzon,Sact Mutien College,Private HEI,Pampanga,Mabalacat City
03 - Central Luzon,Mabalacat City College,LUC,Pampanga,Mabalacat City
03 - Central Luzon,Clark College of Science and Technology,Private HEI,Pampanga,Mabalacat City
03 - Central Luzon,AMA Computer Learning Center College of Mabalacat,Private HEI,Pampanga,Mabalacat City
03 - Central Luzon,Asian Institute of Science and Technology-Central,Private HEI,Pampanga,Mabalacat City
03 - Central Luzon,FDSA Aviation College of Science and Technology,Private HEI,Pampanga,Mabalacat City
03 - Central Luzon,Pampanga Colleges,Private HEI,Pampanga,Macabebe
03 - Central Luzon,Pampanga State Agricultural University,SUC Main,Pampanga,Magalang
03 - Central Luzon,Bulacan State University-Main,SUC Main,Bulacan,Malolos City
03 - Central Luzon,Centro Escolar University-Malolos City,Private HEI,Bulacan,Malolos City
03 - Central Luzon,La Consolacion University Philippines,Private HEI,Bulacan,Malolos City
03 - Central Luzon,STI College-Malolos,Private HEI,Bulacan,Malolos City
03 - Central Luzon,AMA Computer College-Malolos,Private HEI,Bulacan,Malolos City
03 - Central Luzon,ABE International College of Business and Accountancy,Private HEI,Bulacan,Malolos City
03 - Central Luzon,Bulacan Polytechnic College,LUC,Bulacan,Malolos City
03 - Central Luzon,ACLC College of Malolos,Private HEI,Bulacan,Malolos City
03 - Central Luzon,Lyceum of the East-Aurora,Private HEI,Aurora,Maria Aurora
